molecule_chembl_id,canonical_smiles,standard_value
CHEMBL2024685,C=Cn1cnc2ccc(-c3ccnn3-c3cccc(C)n3)cc2c1=O,44.0
CHEMBL2024686,Cc1cccc(-n2ncc(C)c2-c2ccc3ncn(C)c(=O)c3c2)n1,135.0
CHEMBL2024687,Cc1cccc(-n2nc(C)cc2-c2ccc3ncn(C)c(=O)c3c2)n1,695.0
CHEMBL2024688,Cc1cccc(-n2ncc(C)c2-c2ccc3nc[nH]c(=O)c3c2)n1,61.0
CHEMBL2024689,CCc1cc(-c2ccc3ncn(C)c(=O)c3c2)n(-c2cccc(C)n2)n1,274.0
CHEMBL2024690,Cc1cccc(-n2nccc2-c2ccc3nc[nH]c(=O)c3c2)n1,73.0
CHEMBL2024691,CCc1cnn(-c2cccc(C)n2)c1-c1ccc2nc[nH]c(=O)c2c1,47.0
CHEMBL2024692,CCn1cnc2ccc(-c3ccnn3-c3cccc(C)n3)cc2c1=O,708.0
CHEMBL2024693,Cc1cccc(-n2nc3c(c2-c2ccc4nc[nH]c(=O)c4c2)CCC3)n1,46.0
CHEMBL226838,Cc1cccc(-c2[nH]c(C(C)(C)C)nc2-c2ccc3c(c2)OCO3)n1,76.6
CHEMBL492634,Cc1cccc(-c2[nH]c(Cc3cccc(C(N)=O)c3)nc2-c2ccc3nccnc3c2)n1,44.2
CHEMBL4514379,N#Cc1cnc2ccc(-c3c(-c4ccc(F)c(Cl)c4)ncn3CCO)nn12,50.0
CHEMBL4777871,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3-c3ccccc3)ccn2)ccn1,28.9
CHEMBL4792452,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3-c3ccc(F)cc3)ccn2)ccn1,119.0
CHEMBL4790322,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3-c3ccc(C#N)cc3)ccn2)ccn1,162.0
CHEMBL4781452,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3-c3ccc(C(N)=O)cc3)ccn2)ccn1,2036.0
CHEMBL4794175,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3-c3ccc(C(=O)O)cc3)ccn2)ccn1,10000.0
CHEMBL4784194,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3-c3ccc4c(c3)OCO4)ccn2)ccn1,91.9
CHEMBL4788673,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3-c3cccc4c3OCCO4)ccn2)ccn1,225.0
CHEMBL4784607,Cc1noc(C)c1-c1nn(C2CC2)cc1Oc1ccnc(Nc2ccnc(C(C)(C)O)c2)c1,10000.0
CHEMBL4781586,Cn1cc(-c2nn(C3CC3)cc2Oc2ccnc(Nc3ccnc(C(C)(C)O)c3)c2)cn1,188.0
CHEMBL4777610,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3-c3ccncc3)ccn2)ccn1,326.0
CHEMBL4777294,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3C3CCC(F)(F)CC3)ccn2)ccn1,86.5
CHEMBL4797447,CC1(O)CCC(c2nn(C3CC3)cc2Oc2ccnc(Nc3ccnc(C(C)(C)O)c3)c2)CC1,136.0
CHEMBL4795823,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3C3C4COCC43)ccn2)ccn1,116.0
CHEMBL4783147,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3C3CN(CC(F)(F)F)C3)ccn2)ccn1,6689.0
CHEMBL4799736,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3C3CN(C(=O)C4CC4)C3)ccn2)ccn1,748.0
CHEMBL4782867,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3C3CC(O)(C(F)(F)F)C3)ccn2)ccn1,102.0
CHEMBL4791815,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3C3CC(F)(F)C3)ccn2)ccn1,42.5
CHEMBL4778362,CC(O)(c1cc(Nc2cc(Oc3cn(C4CC4)nc3C3CC(F)(F)C3)ccn2)ccn1)C(F)(F)F,90.2
CHEMBL4788502,OC(c1cc(Nc2cc(Oc3cn(C4CC4)nc3C3CC(F)(F)C3)ccn2)ccn1)C(F)(F)F,28.4
CHEMBL4786439,FC1(F)CC(c2nn(C3CC3)cc2Oc2ccnc(Nc3ccnc(N4CCOCC4)c3)c2)C1,45.3
CHEMBL4791582,OC1(c2cc(Nc3cc(Oc4cn(C5CC5)nc4C4CC(F)(F)C4)ccn3)ccn2)CCOCC1,103.0
CHEMBL4797329,OC1(c2cc(Nc3cc(Oc4cn(C5CC5)nc4C4CC(F)(F)C4)ccn3)ccn2)CCC(F)(F)CC1,57.1
CHEMBL4780548,OC1(C(F)(F)F)CCN(c2cc(Nc3cc(Oc4cn(C5CC5)nc4C4CC(F)(F)C4)ccn3)ccn2)CC1,127.0
CHEMBL4791955,OC1(c2cc(Nc3cc(Oc4cn(C5CC5)nc4C4CC(F)(F)C4)ccn3)ccn2)COC1,134.0
CHEMBL4781326,OC1(c2cc(Nc3cc(Oc4cn(C5CC5)nc4C4CC(F)(F)C4)ccn3)ccn2)CN(CC(F)(F)F)C1,116.0
CHEMBL4784622,O=C(C1CC1)N1CC2(C1)CC(O)(c1cc(Nc3cc(Oc4cn(C5CC5)nc4C4CC(F)(F)C4)ccn3)ccn1)C2,283.0
CHEMBL4795745,CC1COCC(C)N1Cc1cc(Nc2cc(Oc3cn(C4CC4)nc3C3CC(F)(F)C3)ccn2)ccn1,972.0
CHEMBL4594432,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3C3CCOCC3)ccn2)ccn1,82.9
CHEMBL307152,Cn1ccc2ccc3c4[nH]c5c(CCCN[C@H]6CC[C@H](O)CC6)cccc5c4c4c(c3c21)C(=O)NC4=O,20000.0
CHEMBL363058,CC(C)OC(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1,20000.0
CHEMBL362588,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,3100.0
CHEMBL186290,Cc1cc2c3c(c1)c(C1=C(c4cnc5ccccn45)C(=O)NC1=O)cn3CCN(C(=O)N1CCCCC1)C2,9500.0
CHEMBL178737,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,2000.0
CHEMBL362814,CN(C)C(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1,20000.0
CHEMBL362558,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2,1200.0
CHEMBL261454,c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1,400.0
CHEMBL204158,c1ccc(-c2nn3c(c2-c2ccc4c(c2)ncn4CCCOC2CCCCO2)CCC3)nc1,20000.0
CHEMBL202625,Cc1cccc(-c2nn3c(c2-c2ccc4c(c2)ncn4CCCOC2CCCCO2)CCC3)n1,14540.0
CHEMBL203214,Cn1cnc2cc(-c3c(-c4ccccn4)nn4c3CCC4)ccc21,19630.0
CHEMBL204139,c1ccc(-c2nn3c(c2-c2ccc4[nH]cnc4c2)CCC3)nc1,8730.0
CHEMBL378167,c1ccc(-c2nn3c(c2-c2ccc4ncn(CCCN5CCCC5)c4c2)CCC3)nc1,10840.0
CHEMBL202730,CN(C)CCCn1cnc2ccc(-c3c(-c4ccccn4)nn4c3CCC4)cc21,20000.0
CHEMBL377711,Cc1cccc(-c2nn3c(c2-c2ccc4ncn(CCCN5CCCCC5)c4c2)CCC3)n1,20000.0
CHEMBL206233,Cc1cccc(-c2nn3c(c2-c2ccc4ncn(CCCN5CCCC5)c4c2)CCC3)n1,20000.0
CHEMBL381532,Cc1cccc(-c2nn3c(c2-c2ccc4ncn(CCCN5CCOCC5)c4c2)CCC3)n1,19750.0
CHEMBL203791,CCN(CC)CCCn1cnc2ccc(-c3c(-c4cccc(C)n4)nn4c3CCC4)cc21,20000.0
CHEMBL441176,Cc1cccc(-c2nn3c(c2-c2ccc4ncn(CCCN(C)C)c4c2)CCC3)n1,20000.0
CHEMBL203619,OCCCn1cnc2ccc(-c3c(-c4ccccn4)nn4c3CCC4)cc21,352.0
CHEMBL204063,Cc1cccc(-c2nn3c(c2-c2ccc4ncn(CCCO)c4c2)CCC3)n1,690.0
CHEMBL204170,Cn1cnc2ccc(-c3c(-c4ccccn4)nn4c3CCC4)cc21,395.0
CHEMBL204966,Cc1cccc(-c2nn3c(c2-c2ccc4ncn(C)c4c2)CCC3)n1,668.0
CHEMBL382838,Cc1cccc(-c2nn3c(c2-c2ccc4[nH]cnc4c2)CCC3)n1,1300.0
CHEMBL427211,Cn1ccc2cc(-c3c(-c4ccccn4)nn4c3CCC4)ccc21,20000.0
CHEMBL377717,Cc1cccc(-c2nn3c(c2-c2ccc4c(ccn4C)c2)CCC3)n1,20000.0
CHEMBL204061,c1ccc(-c2nn3c(c2-c2ccc4[nH]ccc4c2)CCC3)nc1,20000.0
CHEMBL496862,CCN(C)C(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(CN2CCCCC2)cc1)c1ccccc1,19000.0
CHEMBL1615182,N#CCNc1ncnc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1,2000.0
CHEMBL2180274,COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1cccc(-c2ccc3[nH]ccc3c2)c1,2030.0
CHEMBL2180268,CCCC1CC(=O)C2=C(C1)NC(C)=C(C(=O)OC)C2c1ccc(-c2ccccc2)cc1,400.0
CHEMBL2180273,CCOC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(-c2ccccc2)cc1,460.0
CHEMBL440084,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,66.0
CHEMBL2180267,CCCC1CC(=O)C2=C(C1)NC(C)=C(C(=O)OCC(C)C)C2c1ccc(C(C)(C)C)cc1,170.0
CHEMBL2180266,CCCC1CC(=O)C2=C(C1)NC(C)=C(C(=O)OCC)C2c1ccc(C(C)(C)C)cc1,170.0
CHEMBL2180272,COC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(N(C)C)cc3)C2)C1c1ccc(-c2ccccc2)cc1,3970.0
CHEMBL2180271,COC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccccc3)C2)C1c1ccc(-c2ccccc2)cc1,1920.0
CHEMBL2180270,COC(=O)C1=C(C)NC2=C(C(=O)CC(CC(C)C)C2)C1c1ccc(-c2ccccc2)cc1,590.0
CHEMBL2180269,COC(=O)C1=C(C)NC2=C(C(=O)CC(C(C)C)C2)C1c1ccc(-c2ccccc2)cc1,940.0
CHEMBL2177136,CCC1CC(=O)C2=C(C1)NC(C)=C(C(=O)OC)C2c1ccc(-c2ccccc2)cc1,790.0
CHEMBL2180286,COC(=O)C1=C(C)NC2=C(C(=O)CC(C)C2)C1c1ccc(-c2ccccc2)cc1,2730.0
CHEMBL2180285,CCCC1=C(C(=O)OCC)C(c2ccc(-c3ccccc3)cc2)C2=C(CC(C)(C)CC2=O)N1,830.0
CHEMBL2180284,COc1ccc(CNC(=O)C2=C(C)NC3=C(C(=O)CC(C)(C)C3)C2c2ccc(-c3ccccc3)cc2)cc1,4060.0
CHEMBL2180283,COc1ccc(COC(=O)C2=C(C)NC3=C(C(=O)CC(C)(C)C3)C2c2ccc(-c3ccccc3)cc2)cc1,830.0
CHEMBL2180282,CC1=C(C(=O)OCCC(C)C)C(c2ccc(-c3ccccc3)cc2)C2=C(CC(C)(C)CC2=O)N1,1460.0
CHEMBL2180281,CC1=C(C(=O)OCC(C)C)C(c2ccc(-c3ccccc3)cc2)C2=C(CC(C)(C)CC2=O)N1,530.0
CHEMBL2180280,CC1=C(C(=O)OCC(F)(F)F)C(c2ccc(-c3ccccc3)cc2)C2=C(CC(C)(C)CC2=O)N1,760.0
CHEMBL2180279,CC1=C(C(=O)O)C(c2ccc(-c3ccccc3)cc2)C2=C(CC(C)(C)CC2=O)N1,10000.0
CHEMBL2180278,COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1cccc(-c2cccnc2)c1,10000.0
CHEMBL2180277,COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1cccc(-c2cccc(Cl)c2)c1,10000.0
CHEMBL2180276,COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1cccc(-c2ccc(OC)cc2)c1,10000.0
CHEMBL2180275,COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1cccc(-c2ccccc2)c1,10000.0
CHEMBL2180615,COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(-c2ccccc2F)cc1,2060.0
CHEMBL2180614,COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(-c2ccccc2C)cc1,890.0
CHEMBL2180613,COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(-c2cccc(Cl)c2)cc1,1520.0
CHEMBL2180612,COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(-c2ccc(C(F)(F)F)cc2)cc1,730.0
CHEMBL2180611,COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(-c2ccc(C)cc2)cc1,860.0
CHEMBL2180610,COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(-c2ccc(C(=O)OC)cc2)cc1,1350.0
CHEMBL2180609,COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(-c2ccccc2)c(F)c1,1840.0
CHEMBL2180608,COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(-c2ccc3[nH]ccc3c2)cc1,4050.0
CHEMBL2180290,CCOC(=O)C1=C(CC)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(-c2ccccn2)cc1,3570.0
CHEMBL2180289,COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(-n2cccn2)cc1,8800.0
CHEMBL2180288,COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(-c2ccccc2)cc1,1490.0
CHEMBL2180287,COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(C2CCCCC2)cc1,590.0
CHEMBL2180618,COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(C(C)(C)C)cc1,560.0
CHEMBL2180617,COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccccc1,10000.0
CHEMBL2180616,COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(F)cc1,10000.0
CHEMBL2385591,c1cc(-c2cnn3cc(-c4ccc(N5CCNCC5)cc4)cnc23)c2cccnc2c1,327.0
CHEMBL511563,COc1ccc(-c2cnc3c(-c4ccnc5ccccc45)cnn3c2)cc1,236.0
CHEMBL513147,c1ccc2c(-c3cnn4cc(-c5ccc(N6CCNCC6)cc5)cnc34)ccnc2c1,140.4
CHEMBL478629,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1,102.9
CHEMBL2385586,c1cc(N2CCNCC2)ccc1-c1cnc2c(-c3cn[nH]c3)cnn2c1,38.0
CHEMBL2385582,c1ccc2c(-c3cnn4cc(-c5ccc(N6CCOCC6)cc5)cnc34)ccnc2c1,26.0
CHEMBL2385600,COc1ccc(-c2cnc3c(-c4cn[nH]c4)cnn3c2)cc1,16.0
CHEMBL2385596,CN1CCN(c2ccc(-c3cnc4c(-c5ccnc6ccccc56)cnn4c3)cc2)CC1,15.0
CHEMBL2385579,c1cc(N2CCOCC2)ccc1-c1cnc2c(-c3cn[nH]c3)cnn2c1,1.37
CHEMBL3745885,Cn1c(=O)c(S(=O)(=O)c2ccc(F)cc2F)cc2cnc(Nc3ccc4[nH]ccc4c3)nc21,10000.0
CHEMBL4217699,Fc1cnccc1Nc1nc(-c2cccc(C(F)(F)F)n2)nc2[nH]ccc12,15000.0
CHEMBL4209583,CC(=O)Nc1cc(Nc2nc(-c3cccc(C(F)(F)F)n3)nc3[nH]ccc23)ccn1,940.0
CHEMBL4210246,Cc1cccc(-c2nc(Nc3ccncc3F)c3cc[nH]c3n2)n1,310.0
CHEMBL4209835,Cc1cccc(-c2nc(Nc3ccncc3F)c3nc[nH]c3n2)n1,1100.0
CHEMBL260015,c1ccc(-c2nn3c(c2-c2ccnc4cc(OCCN5CCOCC5)ccc24)CCC3)nc1,190.0
CHEMBL4206910,CC(=O)Nc1cc(Nc2nc(-c3cccc(C(F)(F)F)n3)nn3cccc23)c(F)cn1,15000.0
CHEMBL4217935,N[C@@H]1CCN(Cc2ccn3nc(-c4ccccn4)nc(Nc4ccncc4F)c23)C[C@H]1O,3000.0
CHEMBL4206220,N[C@H]1CCN(Cc2ccn3nc(-c4ccccn4)nc(Nc4ccncc4F)c23)C[C@@H]1O,810.0
CHEMBL4214470,N[C@H]1CC[C@@H](NCc2ccn3nc(-c4ccccn4)nc(Nc4ccncc4F)c23)CC1,2000.0
CHEMBL4204772,Fc1cnccc1Nc1nc(-c2ccccn2)nn2cccc12,110.0
CHEMBL4210079,Cc1cccc(-c2nc(Nc3ccncc3C(=O)NC(C)C)c3cccn3n2)n1,15000.0
CHEMBL4211574,Cc1cccc(-c2nc(Nc3c(F)cncc3F)c3cccn3n2)n1,15000.0
CHEMBL4205457,Cc1cccc(-c2nc(Nc3ccncc3F)c3cccn3n2)n1,570.0
CHEMBL4202469,FC(F)(F)c1cccc(-c2nc(Nc3ccncc3)c3cccn3n2)n1,8500.0
CHEMBL4218893,COc1cccc(-c2nc(Nc3ccncc3)c3cccn3n2)n1,15000.0
CHEMBL4205311,c1ccc(-c2nc(Nc3ccncc3)c3cccn3n2)nc1,77.0
CHEMBL4206793,Cc1cccc(-c2nc(Nc3ccncc3)c3cccn3n2)n1,550.0
CHEMBL4205979,Cc1cccc(-c2nc(Nc3ccnc4ccccc34)c3cccn3n2)n1,1100.0
CHEMBL4283638,CC(c1ccc(-c2cnc3c(-c4ccc(S(N)(=O)=O)c5ccccc45)cnn3c2)cc1)N1CCCC1,698.0
CHEMBL4280731,[2H]C([2H])([2H])Oc1ccc(-c2c(-c3ccnc(NC(C)=O)c3)[nH]c3cccnc23)nc1,7600.0
CHEMBL4292047,CC(=O)Nc1cc(-c2[nH]c3cccnc3c2-c2cccc(C)n2)ccn1,730.0
CHEMBL4284170,CC(=O)Nc1cc(-c2[nH]c3cccnc3c2-c2cccc(C(F)F)n2)ccn1,4300.0
CHEMBL4276907,CC(=O)Nc1cc(-c2[nH]c3cccnc3c2-c2cccc(C(F)(F)F)n2)ccn1,15000.0
CHEMBL4288634,COc1ccc(-c2c(-c3ccnc(NC(C)=O)c3)[nH]c3cccnc23)nc1,15000.0
CHEMBL4277338,CC(=O)Nc1cc(-c2[nH]c3cccnc3c2-c2ccc(OC(F)F)cn2)ccn1,14000.0
CHEMBL4285292,CC(=O)Nc1cc(-c2[nH]c3cccnc3c2-c2ccc(C)cn2)ccn1,15000.0
CHEMBL4280660,CC(=O)Nc1cc(-c2[nH]c3cccnc3c2-c2ccc(Cl)cn2)ccn1,14000.0
CHEMBL4291307,CC(=O)Nc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cn2)ccn1,390.0
CHEMBL4279160,COc1ccc(-c2c(-c3ccnc(NC(C)=O)c3)[nH]c3cccnc23)cn1,40.0
CHEMBL4289841,CC(=O)Nc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)nc2)ccn1,7.0
CHEMBL4534989,Cc1cccc(-c2ncn(C)c2-c2ccc3nccn3c2)c1,5710.0
CHEMBL4458215,Cc1cccc(-c2ncn(CC(F)F)c2-c2ccc3nccn3c2)n1,12900.0
CHEMBL4455462,Cc1cccc(-c2ncn(CC(F)F)c2-c2ccc3ncc(C(N)=O)n3c2)n1,820.0
CHEMBL4440988,NC(=O)c1cnc2ccc(-c3c(-c4ccc(F)cc4)ncn3CC(F)F)nn12,2930.0
CHEMBL4584495,N#Cc1cnc2ccc(-c3c(-c4ccc(F)cc4)ncn3CC(F)F)nn12,15000.0
CHEMBL4452178,N#Cc1cnc2ccc(-c3c(-c4ccc(F)cc4)ncn3CCO)nn12,15000.0
CHEMBL4438748,CN(C)c1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,10000.0
CHEMBL4798505,COc1cc(-c2cnn3cc(OC)c(C)nc23)ccn1,5.0
CHEMBL4777071,COc1cc(-c2cnn3cc(OC)c(N(C)C)nc23)ccn1,7.9
CHEMBL4750258,COc1cnc2c(-c3ccnc(OC)c3)cnn2c1,15.0
CHEMBL4752199,CNc1nc2c(-c3ccnc(OC)c3)cnn2cc1OC,1.0
CHEMBL4744988,CNc1nc2c(-c3ccnc(OC)c3)cnn2cc1C1CC1,3.7
CHEMBL4741185,CCc1cn2ncc(-c3ccnc(OC)c3)c2nc1NC,1.5
CHEMBL4741913,C=Cc1cn2ncc(-c3ccnc(OC)c3)c2nc1NC,3.0
CHEMBL4779579,CNc1nc2c(-c3ccnc(OC)c3)cnn2cc1C,2.9
CHEMBL4795223,CNc1ccn2ncc(-c3ccnc(OC)c3)c2n1,3.9
CHEMBL4745367,CNc1ccn2ncc(-c3cccc(OC)c3)c2n1,1000.0
CHEMBL4783244,c1cc2cc(c1)-c1cnn3ccc(nc13)NCCOCCO2,75.0
CHEMBL4747912,COc1cc(CNC(=O)Nc2snc(OCc3cccnc3)c2C(N)=O)cc(OC)c1,110.0
CHEMBL4792978,Cc1ccc(-c2cnc(N)c(C(=O)NC3CCCCC3)n2)cc1,490.0
CHEMBL4763122,CCc1nc2c(-c3ccnc(OC)c3)cnn2cc1OC,36.0
CHEMBL4748097,COc1cc(-c2cnn3cc(OC)c(C(C)C)nc23)ccn1,1.0
CHEMBL4764416,COc1cc(-c2cnn3cc(OC)c(C(C)(C)O)nc23)ccn1,3.3
CHEMBL4782729,COc1cc(-c2cnn3cc(OC)c(C4CCCC4)nc23)ccn1,1.2
CHEMBL4779273,COc1cc(-c2cnn3cc(OC)c(C4CCOC4)nc23)ccn1,1.1
CHEMBL4792464,COc1cc(-c2cnn3cc(OC)c([C@H]4COC(C)(C)C4)nc23)ccn1,3.0
CHEMBL4749061,COc1cc(-c2cnn3cc(OC)c([C@@H]4COC(C)(C)C4)nc23)ccn1,3.6
CHEMBL4763627,COc1cc(-c2cnn3cc(OC)c(-c4cc(C)no4)nc23)ccn1,2.9
CHEMBL4749011,COc1cc(-c2cnn3cc(OC)c(-c4cnn(C)c4)nc23)ccn1,1.0
CHEMBL4758580,COc1cn2ncc(-c3ccnc(OC(C)C)c3)c2nc1-c1cnn(C)c1,0.56
CHEMBL4747422,COc1cn2ncc(-c3ccnc(OC(C)(C)C)c3)c2nc1-c1cnn(C)c1,7.0
CHEMBL4744618,COc1cn2ncc(-c3ccnc(OC4CC4)c3)c2nc1-c1cnn(C)c1,1.6
CHEMBL4787891,COc1cn2ncc(-c3ccnc(OC4CCC4)c3)c2nc1-c1cnn(C)c1,0.61
CHEMBL4791414,Cn1cc(-c2nc3c(-c4ccnc(OC5CC5)c4)cnn3cc2OCC(C)(C)O)cn1,0.31
CHEMBL4751832,Cn1cc(-c2nc3c(-c4ccnc(OC5CC5)c4)cnn3cc2OCCC(C)(C)O)cn1,0.83
CHEMBL4764221,Cn1cc(-c2nc3c(-c4ccnc(OC5CC5)c4)cnn3cc2OCCCC(C)(C)O)cn1,2.0
CHEMBL4740381,Cc1cc(-c2cnc3cc(-c4ccc(N5CCNCC5)cc4)ccn23)c2ccccc2n1,1250.0
CHEMBL4788859,Cc1cc(-c2cnc3cc(-c4ccc(N5CCNCC5)cc4)ccn23)c2cc(F)ccc2n1,587.2
CHEMBL4786529,Cc1cc(-c2cnc3cc(-c4ccc(N5CCNCC5)cc4)ccn23)c2cc(F)cc(F)c2n1,170.7
CHEMBL4742906,Cc1cc(-c2cnc3cc(-c4ccc(C5CNCCN5)cc4)ccn23)c2ccccc2n1,4590.0
CHEMBL4778971,Cc1cc(-c2cnc3cc(-c4ccc(C5CNCCN5)cc4)ccn23)c2cc(F)cc(F)c2n1,498.0
CHEMBL4088216,CN1C(=O)[C@@H](N2CCc3cn(Cc4ccccc4)nc3C2=O)COc2ccccc21,1000.0
CHEMBL4549667,CN1C(=O)[C@@H](N2CCc3c(nn(Cc4ccccc4)c3Br)C2=O)COc2ccccc21,1000.0
CHEMBL4097778,CN1C(=O)[C@@H](N2CCc3cn(CC4CCS(=O)(=O)CC4)nc3C2=O)COc2ccccc21,1000.0
CHEMBL5438171,CCn1cc(-c2ccc3c(c2)ncn3-c2cc(OC)c(C(N)=O)c(OC)c2)cn1,14.5
